TIA,MULHER + TIO
CUNHADA,MULHER + CUNHADO
IRMÃ,MULHER + IRMÃO
PRIMA,MULHER + PRIMO
SOGRA,MULHER + SOGRO
MENINA,MULHER + MENINO
MADRASTA,MÃE + PAI1
RAPARIGA,MULHER + RAPAZ
NETA,MULHER + NETO
SOBRINHA,MULHER + SOBRINHO
ENTEADA,MULHER + FILHO+PAI1
MADRINHA,MULHER + PADRINHO
AFILHADO,PADRINHO + FILHO
AFILHADA,MULHER + PADRINHO +FILHO
NORA,MULHER + GENRO
MELANCIA,VERMELHO + MELÃO
MORANGO,VERMELHO + MORANGO
AMORA,PRETO + MORANGO
KIWI,K + VERDE
AMENDOIM,AMENDOIM+AMENDOIM2
AZEITONA,PRETO + AZEITONA1
ESPINAFRE,VERDE + ESPINAFRE
SALADA DE FRUTA,SALADA + FRUTA
SALADA DE ALFACE,SALADA + ALFACE
TOMATE,VERMELHO+ TOMATE
KIVI,VERDE + KIVI
QUEIJO,LEITE_V1 + QUEIJO_1
BRINQUEDO,BONECO+BRINCAR
BÓIA,BÓIA1+BÓIA2
CARRINHO,CARRO1
CARRO TELECOMANDADO ,CARRO2
CAVALINHO DE BALOIÇO,CAVALO+BALOIÇO
Bruxa,bruxa1 + bruxa 2
cavaleiro,castelo + cavaleiro
Extra Terrestre,E + T
FADA,MULHER + FADA1
Mago,mago1+mago2
Princesa,mulher+rei+criança
Principe,rei+criança
Legos,legos1+legos2
Corpo,quem+corpo2
Esponja,esponja1+banho1
Gel de banho,gel1+banho1
Papel higiénico,PAPEL+ROLO1
Champô,champô1+LAVAR_A_CABEÇA
Jardim,jardim1+jardim2
Lago,água+lago1
Mar,água+mar1
Relva,Verde+relva1
Rio,Água+rio1
Terra,areia+jardim2
Arco-Íris,cor+arco1
Gelo,pedra+gelo1
Neve,branco+neve1
Basquetebol,basquetebol1+basquetebol2
corrida de carros,carro+corrida2
Natação,Piscina+NADAR
ténis de mesa,ténis1+ténis2
língua portuguesa,língua+portugal
apoio,apoiar
material escolar,material+escola
canetas de cor,caneta + cor
lápis de cera,lápis + cera1
lápis de cor,lápis + cor
papel de cor,papel+cor
pincel,pincel1+pincel2
tintas,COR+TINTA1
esquadro,esquadro1+esquadro2
Animais,ANIMAL+VÁRIOS
Abelha,ABELHA1+PERIGO
Búfalo,BÚFALO_1 + BÚFALO2
Camaleão,camaleão1+CAMALEÃO2
Camelo,CAMELO1+ALTO2
Coelho,COELHO1+cenoura
galinha,BICO1 + GALINHA1
galo,BICO1 + GALO1
girafa,PESCOÇO1+ALTO2
Gorila,VERMELHO+GORILA1
ouriço,OURIÇO1+OURIÇO2
Joaninha,VERMELHO+JOANINHA1
Koala,KOALA1+KOALA2
pássaro,pássaro1+pássaro2
Pintainho,PÁSSARO1+PEQUENO1+AMARELO
Raposa,FOCINHO1+RAPOSA1
Tigre,TIGRE1+TIGRE2
Urso,FOCINHO1+URSO2
Zebra,CAVALO+RISCAS
Profissão,TRABALHO+PROFISSÃO
médico,doente+médico_1
Jardineiro,PROFISSÃO+jardineiro1+jardineiro2
Cabeleireiro,PROFISSÃO+CABELEIREIRO1
Carteiro,PROFISSÃO+CARTA
Cozinheiro,COZINHEIRO1+FOGÃO
Padeiro,pão+forno
Pasteleiro,bolo+mexer1
Pescador,PEIXE+PESCADOR1
calçar,sapato+calçar1
Desarrumar,ARRUMAR+MISTURAR1
Descalçar,SAPATO+descalçar1
editar,livro+partilhar
ABRIR_A_PORTA,porta+abrir1
FECHAR_A_PORTA,porta+fechar1
FECHAR_JANELA,janela+fechar1
FECHAR_PORTA,porta+fechar1
AMOROSO,AMOR+CARINHOSO
APAIXONADO,AMOR+APAIXONADO1
TÍMIDO,PESSOA+TIMIDEZ
MOTIVAR,PESSOA+INCENTIVAR
MOTIVAÇÃO,INTERESSE+INCENTIVAR
PERTURBAÇÕES DE HUMOR,HUMOR1+PERFIL
ANTI-SOCIAL,ANTI1+SOCIAL
CONFLITUOSO,PROBLEMA+REVOLUÇÃO1
CIRURGIA AO CORAÇÃO,CORAÇÃO+CIRURGIA1
PENSAMENTO ACELERADO,PENSAMENTO + ACELERADO1
PSICÓLOGO,PESSOA+PSICOLOGIA
PERIGO,RISCO
MATAR,MATAR-SE1+EU-PRÓPRIO1
HEMORRAGIA CEREBRAL,HEMORRAGIA+CÉREBRO1
HEMORRAGIA,SANGUE+PRESO
BENZODIAZEPINA,DEPRESSÃO+TRATAR+LIGAR
DOR TÓRAXICA,DOR+TÓRAX
ELETROCARDIOGRAMA,CORAÇÃO+ELETROCARDIOGRAMA1
PERICÁRDIO,CORAÇÃO+PERICÁRDIO1
DISPNEIA,DIFÍCIL+RESPIRAR
ANGINA,DOR+CORAÇÃO_V1
TROMBOEMBOLISMO,SANGUE+CIRCULAÇÃO+PRESO
HEMOPTISE,TOSSIR+SANGUE
ESÓFAGO,COMER_1+ESÓFAGO1
DISFAGIA,ENGOLIR+DIFÍCIL
HEMÓLISE,SANGUE+DESTRUIR
TUBERCOLOSE,DOENÇA+PULMÃO+BURACOS1
DIABETES,AÇÚCAR+DIABETES1
TOXOPLASMOSE,DOENÇA+TOXOPLASMOSE1
PERDA DE PESO,PESO+PERDA1
GANHO DE PESO,PESO+GANHO1
APELIDO,NOME+ÚLTIMO
GRIPE,constipação+FEBRE
ESCARLATINA,ESCARLATINA1+FEBRE
PINTOR,PROFISSÃO+PINTAR
PADRASTO,PAI+PAI1
ENTEADO,FILHO+PAI1
FOLHA DE PAPEL,FOLHA1+PAPEL
